Passenger ID,Passenger Fare,Ticket Class,Ticket Number,Cabin,Embarkation Country,Name,Age,Gender,NumSiblingSpouse,NumParentChild,Survived
105,$14.825,3,4136,0,S,"Jussila, Miss. Katriina",20.0,female,1,0,No
106,$32.7208,1,PC 17612,0,C,"Lewy, Mr. Ervin G",0.0,male,0,0,No
107,$12.8958,3,349201,0,S,"Ivanoff, Mr. Kanio",0.0,male,0,0,No
108,$14.5875,3,4135,0,S,"Laitinen, Miss. Kristina Sofia",37.0,female,0,0,No
109,$31,1,693,0,S,"Nicholson, Mr. Arthur Ernest",64.0,male,0,0,No
110,$31,2,239865,0,S,"Gaskell, Mr. Alfred",16.0,male,0,0,No
111,$26,2,31027,0,S,"Renouf, Mr. Peter Henry",34.0,male,1,0,No
114,$32.75,2,C.A. 34651,0,S,"West, Miss. Constance Mirium",5.0,female,1,2,Yes
115,$14.475,3,7546,0,S,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,female,1,0,No
117,$31.25,2,F.C.C. 13529,0,S,"Hart, Miss. Eva Miriam",7.0,female,0,2,Yes
118,$12.775,3,312993,0,S,"Rommetvedt, Mr. Knud Paust",0.0,male,0,0,No
119,$14.8375,3,7553,0,S,"Strandberg, Miss. Ida Sofia",22.0,female,0,0,No
120,$13.05,3,364499,0,S,"Tomlin, Mr. Ernest Portage",30.5,male,0,0,No
121,$31,2,236853,0,S,"Bryhl, Mr. Kurt Arnold Gottfrid",25.0,male,1,0,No
124,$13.05,3,SOTON/OQ 3101316,0,S,"Webber, Mr. James",0.0,male,0,0,No
125,$13.05,3,S.C./A.4. 23567,0,S,"Rogers, Mr. William John",0.0,male,0,0,No
129,$31,2,2926,0,S,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,female,1,0,Yes
131,$115.8833,1,17421,0,C,"Fleming, Miss. Margaret",0.0,female,0,0,Yes
132,$11.45,3,C 7075,0,S,"Holm, Mr. John Fredrik Alexander",43.0,male,0,0,No
133,$32,2,243847,0,S,"Jacobsohn, Mr. Sidney Samuel",42.0,male,1,0,No
134,$517.3292,1,PC 17755,0,C,"Ward, Miss. Anna",35.0,female,0,0,Yes
135,$12.8958,3,349247,0,S,"Turcin, Mr. Stjepan",36.0,male,0,0,No
136,$13.05,3,A.5. 18509,0,S,"Somerton, Mr. Francis William",30.0,male,0,0,No
138,$13.6625,3,315098,0,S,"Lulic, Mr. Nikola",27.0,male,0,0,Yes
139,$19.5,2,250649,0,S,"Hamalainen, Mrs. William (Anna)",24.0,female,0,2,Yes
140,$37.5,2,28220,0,S,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34.0,female,1,1,Yes
141,$20.85,3,3101278,0,S,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,female,3,0,Yes
142,$12.8958,3,349227,0,S,"Plotcharsky, Mr. Vasil",0.0,male,0,0,No
143,$13.05,3,A/4. 20589,0,S,"Rush, Mr. Alfred George John",16.0,male,0,0,No
144,$23.75,2,29106,0,S,"Richards, Mrs. Sidney (Emily Hocking)",24.0,female,2,3,Yes
145,$24.9667,3,65304,0,S,"Hagland, Mr. Konrad Mathias Reiersen",0.0,male,1,0,No
146,$36.275,3,347082,0,S,"Andersson, Miss. Ingeborg Constanzia",9.0,female,4,2,No
148,$12.225,3,2694,0,C,"Attalah, Mr. Sleiman",30.0,male,0,0,No
150,$13.05,3,A/5 3536,0,S,"Cook, Mr. Jacob",43.0,male,0,0,No
151,$20.2458,3,2661,0,C,"Moubarek, Master. Gerios",0.0,male,1,1,Yes
152,$44.6875,3,3101295,0,S,"Panula, Mrs. Juha (Maria Emilia Ojala)",41.0,female,0,5,No
153,$12.25,3,A/5 21174,0,S,"Perkin, Mr. John Henry",22.0,male,0,0,No
154,$32.9,3,347088,0,S,"Skoog, Master. Harald",4.0,male,3,2,No
155,$13.05,3,374910,0,S,"Shorney, Mr. Charles Joseph",0.0,male,0,0,No
156,$36.275,3,347082,0,S,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39.0,female,1,5,No
157,$14.5,3,345779,0,S,"Sheerlinck, Mr. Jan Baptist",29.0,male,0,0,Yes
158,$12.8958,3,349213,0,C,"Markoff, Mr. Marin",35.0,male,0,0,No
159,$12.775,3,312992,0,S,"Birkeland, Mr. Hans Martin Monsen",21.0,male,0,0,No
161,$28.45,3,W./C. 6607,0,S,"Johnston, Mr. Andrew G",0.0,male,1,2,No
162,$19.4,3,347080,0,S,"Danbom, Mr. Ernst Gilbert",34.0,male,1,1,No
164,$12.75,3,14311,0,Q,"O'Driscoll, Miss. Bridget",0.0,female,0,0,Yes
165,$12.775,3,347069,0,S,"Gustafsson, Mr. Karl Gideon",19.0,male,0,0,No
166,$36.3875,3,347077,0,S,"Asplund, Master. Edvin Rojj Felix",3.0,male,4,2,Yes
167,$18,2,233866,0,S,"Gill, Mr. John William",24.0,male,0,0,No
168,$12.8542,3,347470,0,S,"Nilsson, Miss. Helmina Josefina",26.0,female,0,0,Yes
171,$13.05,3,A/S 2816,0,S,"Maisner, Mr. Simon",0.0,male,0,0,No
172,$13.6542,3,7540,0,S,"Johansson, Mr. Gustaf Joel",33.0,male,0,0,No
173,$26,2,11668,0,S,"Turpin, Mr. William John Robert",29.0,male,1,0,No
174,$25.2125,3,370129,0,S,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",41.0,female,0,2,No
175,$20.5,3,364849,0,Q,"Bourke, Mrs. John (Catherine)",32.0,female,1,1,No
176,$20.55,3,349910,0,S,"Lindell, Mr. Edvard Bengtsson",36.0,male,1,0,No
177,$12.4958,3,349209,0,S,"Coleff, Mr. Satio",24.0,male,0,0,No
178,$14.5875,3,4134,0,S,"Turkula, Mrs. (Hedwig)",63.0,female,0,0,Yes
180,$61.4958,3,1601,0,S,"Lam, Mr. Len",0.0,male,0,0,No
181,$12.8,3,A/4. 39886,0,S,"Nosworthy, Mr. Richard Cater",21.0,male,0,0,No
182,$23.7875,3,2699,0,C,"Albimona, Mr. Nassef Cassem",26.0,male,0,0,Yes
185,$13.05,3,374746,0,S,"Moutal, Mr. Rahamin Haim",0.0,male,0,0,No
186,$31.25,2,F.C.C. 13529,0,S,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45.0,female,1,1,Yes
187,$15.5,2,244278,0,S,"Pain, Dr. Alfred",23.0,male,0,0,No
188,$18,2,220367,0,S,"Bracken, Mr. James H",27.0,male,0,0,No
189,$12.8958,3,349208,0,S,"Staneff, Mr. Ivan",0.0,male,0,0,No
190,$12.7375,3,36865,0,Q,"Kilgannon, Mr. Thomas J",0.0,male,0,0,No
192,$14,3,345765,0,S,"Vander Cruyssen, Mr. Victor",47.0,male,0,0,No
193,$61.4958,3,1601,0,S,"Chip, Mr. Chang",32.0,male,0,0,Yes
194,$14.5,3,345774,0,S,"de Mulder, Mr. Theodore",30.0,male,0,0,Yes
195,$12.2292,3,2669,0,C,"Sirayanian, Mr. Orsen",22.0,male,0,0,No
196,$138.65,1,PC 17611,0,S,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",0.0,female,1,0,Yes
197,$31,2,250655,0,S,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",39.0,male,0,0,No
198,$5,1,19972,0,S,"Reuchlin, Jonkheer. John George",38.0,male,0,0,No
199,$12.8958,3,349214,0,S,"Slabenoff, Mr. Petco",0.0,male,0,0,No
200,$14.2167,3,7534,0,S,"Osen, Mr. Olaf Elon",16.0,male,0,0,No
201,$74.55,3,CA. 2343,0,S,"Sage, Mr. Frederick",0.0,male,8,2,No
202,$34,2,248738,0,S,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,female,1,1,Yes
203,$15.5,2,F.C.C. 13531,0,S,"Toomey, Miss. Ellen",50.0,female,0,0,Yes
205,$12.2292,3,2690,0,C,"Elias, Mr. Joseph Jr",17.0,male,1,1,No
206,$17.475,3,364516,0,S,"Dowdell, Miss. Elizabeth",30.0,female,0,0,Yes
207,$12.775,3,349912,0,S,"Edvardsson, Mr. Gustaf Hjalmar",18.0,male,0,0,No
208,$51.9,3,CA 2144,0,S,"Goodwin, Mr. Charles Edward",14.0,male,5,2,No
210,$12.225,3,2674,0,C,"Elias, Mr. Dibo",0.0,male,0,0,No
212,$11.95,3,368323,0,Q,"Flynn, Mr. John",0.0,male,0,0,No
213,$13.05,3,341826,0,S,"Adams, Mr. John",26.0,male,0,0,No
214,$12.2292,3,2677,0,C,"Mamee, Mr. Hanna",0.0,male,0,0,Yes
216,$26.6792,3,2662,0,C,"Samaan, Mr. Youssef",0.0,male,2,0,No
217,$13.6625,3,315088,0,S,"Dimic, Mr. Jovan",42.0,male,0,0,No
218,$12.75,3,370376,0,Q,"Dooley, Mr. Patrick",32.0,male,0,0,No
219,$12.8958,3,349246,0,S,"Karaic, Mr. Milan",30.0,male,0,0,No
220,$66.3792,1,PC 17597,0,C,"Williams, Mr. Charles Duane",51.0,male,0,1,No
222,$12.05,3,SOTON/O.Q. 3101305,0,S,"Jardin, Mr. Jose Neto",0.0,male,0,0,No
223,$12.6292,3,330909,0,Q,"O'Sullivan, Miss. Bridget Mary",0.0,female,0,0,No
224,$28,2,29103,0,S,"Wells, Miss. Joan",4.0,female,1,1,Yes
225,$12.925,3,STON/O 2. 3101292,0,S,"Leinonen, Mr. Antti Gustaf",32.0,male,0,0,No
227,$12.925,3,STON/O 2. 3101269,0,S,"Sundman, Mr. Johan Julian",44.0,male,0,0,Yes
228,$13.05,3,A/5 3540,0,S,"Cohen, Mr. Gurshon ""Gus""",18.0,male,0,0,Yes
232,$70,2,220845,0,S,"Herman, Miss. Alice",24.0,female,1,2,Yes
233,$18,2,233639,0,S,"Troupiansky, Mr. Moses Aaron",23.0,male,0,0,No
234,$15.5,2,28665,0,S,"Pengelly, Mr. Frederick William",19.0,male,0,0,No
236,$11.75,3,365222,0,Q,"Burke, Mr. Jeremiah",19.0,male,0,0,No
237,$12.925,3,STON/O2. 3101283,0,S,"Honkanen, Miss. Eliina",27.0,female,0,0,Yes
238,$23,3,345764,0,S,"Vander Planke, Mr. Leo Edmondus",16.0,male,2,0,No
239,$12.75,3,9234,0,Q,"Kelly, Miss. Anna Katherine ""Annie Kate""",0.0,female,0,0,Yes
241,$12.25,3,A/5 3902,0,S,"Elsbury, Mr. William James",47.0,male,0,0,No
242,$12.8958,3,349251,0,S,"Sivic, Mr. Husein",40.0,male,0,0,No
244,$61.4958,3,1601,0,S,"Ling, Mr. Lee",28.0,male,0,0,No
245,$12.8958,3,349245,0,S,"Petranec, Miss. Matilda",28.0,female,0,0,No
246,$14.35,3,392091,0,S,"Aks, Mrs. Sam (Leah Rosen)",18.0,female,0,1,Yes
247,$5,3,LINE,0,S,"Leonard, Mr. Lionel",36.0,male,0,0,No
248,$13.4042,3,4579,0,S,"Olsen, Mr. Karl Siegwart Andreas",42.0,male,0,1,No
249,$74.55,3,CA. 2343,0,S,"Sage, Miss. Constance Gladys",0.0,female,8,2,No
251,$32.75,2,C.A. 34651,0,S,"West, Mr. Edwy Arthur",36.0,male,1,2,No
253,$12.775,3,347083,0,S,"Persson, Mr. Ernst Ulrik",25.0,male,1,0,Yes
255,$12.05,3,SOTON/O.Q. 3101306,0,S,"Goncalves, Mr. Manuel Estanslas",38.0,male,0,0,No
256,$31.55,1,113792,0,S,"Smart, Mr. John Montgomery",56.0,male,0,0,No
257,$12.225,3,2631,0,C,"Emir, Mr. Farred Chehab",0.0,male,0,0,No
258,$12.75,3,364850,0,Q,"Mangan, Miss. Mary",30.5,female,0,0,No
260,$19.4583,3,2627,0,C,"Yousseff, Mr. Gerious",0.0,male,0,0,No
261,$24.5,2,250644,0,S,"Mellinger, Miss. Madeleine Violet",13.0,female,0,1,Yes
262,$12.2292,3,2693,0,C,"Hanna, Mr. Mansour",23.5,male,0,0,No
263,$18,2,234686,0,S,"Butler, Mr. Reginald Fenton",25.0,male,0,0,No
265,$18,2,250652,0,S,"Silven, Miss. Lyyli Karoliina",18.0,female,0,2,Yes
268,$18,2,250647,0,S,"Ponesell, Mr. Martin",34.0,male,0,0,No
269,$19.4542,3,2691,0,C,"Barbara, Miss. Saiide",18.0,female,0,1,No
270,$12.8958,3,349218,0,S,"Nankoff, Mr. Minko",0.0,male,0,0,No
271,$21.1,3,A/5. 3336,0,S,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",26.0,female,1,0,No
272,$32.9,3,347088,0,S,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,female,1,4,No
273,$19.1083,3,350026,0,S,"Hansen, Mr. Claus Peter",41.0,male,2,0,No
274,$36.3875,3,347077,0,S,"Asplund, Miss. Lillian Gertrud",5.0,female,4,2,Yes
275,$21.1,3,A/5. 3336,0,S,"Lobb, Mr. William Arthur",30.0,male,1,0,No
276,$15.5,2,SW/PP 751,0,S,"Mellors, Mr. William John",19.0,male,0,0,Yes
277,$12.8958,3,349205,0,S,"Stoytcheff, Mr. Ilia",19.0,male,0,0,No
278,$39.375,3,W./C. 6608,0,S,"Ford, Mrs. Edward (Margaret Ann Watson)",48.0,female,1,3,No
279,$13.05,3,A/5. 2151,0,S,"Saundercock, Mr. William Henry",20.0,male,0,0,No
280,$14,3,345767,0,S,"Waelens, Mr. Achille",22.0,male,0,0,No
281,$12.75,3,367228,0,Q,"McCormack, Mr. Thomas Joseph",0.0,male,0,0,Yes
282,$12.65,3,343120,0,S,"Salkjelsvik, Miss. Anna Kristine",21.0,female,0,0,Yes
283,$14.5,3,345770,0,S,"Vande Walle, Mr. Nestor Cyriel",28.0,male,0,0,No
285,$12.75,3,364851,0,Q,"Flynn, Mr. James",0.0,male,0,0,No
286,$16.5,2,29108,0,S,"Bailey, Mr. Percy Andrew",18.0,male,0,0,No
287,$12.925,3,STON/O 2. 3101280,0,S,"Sivola, Mr. Antti Wilhelm",21.0,male,0,0,No
288,$18,2,211536,0,S,"Montvila, Rev. Juozas",27.0,male,0,0,No
290,$15.1708,3,349228,0,S,"Dakic, Mr. Branko",19.0,male,0,0,No
291,$12.25,3,SOTON/OQ 3101317,0,S,"Windelov, Mr. Einar",21.0,male,0,0,No
292,$12.775,3,347060,0,S,"Svensson, Mr. Johan",74.0,male,0,0,No
293,$46.5792,2,SC/Paris 2123,0,C,"Laroche, Mr. Joseph Philippe Lemercier",25.0,male,1,2,No
295,$12.775,3,347074,0,S,"Eklund, Mr. Hans Linus",16.0,male,0,0,No
297,$14.5,3,345780,0,S,"Vande Velde, Mr. Johannes Joseph",33.0,male,0,0,No
298,$12.7958,3,350043,0,S,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,male,0,0,Yes
299,$12.7958,3,350042,0,S,"Carlsson, Mr. August Sigfrid",28.0,male,0,0,No
300,$15.5167,3,7552,0,S,"Dahlberg, Miss. Gerda Ulrika",22.0,female,0,0,No
301,$31.55,1,113794,0,S,"Seward, Mr. Frederic Kimber",34.0,male,0,0,Yes
303,$29,2,P/PP 3381,0,C,"Abelson, Mrs. Samuel (Hannah Wizosky)",28.0,female,1,0,Yes
304,$35.0708,2,237736,0,C,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,female,1,0,Yes
305,$12.7333,3,35851,0,Q,"Gilnagh, Miss. Katherine ""Katie""",16.0,female,0,0,Yes
306,$14.5,3,345777,0,S,"van Melkebeke, Mr. Philemon",0.0,male,0,0,No
308,$12.925,3,STON/O2. 3101290,0,S,"Heininen, Miss. Wendla Maria",23.0,female,0,0,No
309,$15.5,2,C.A. 24579,0,S,"Wheadon, Mr. Edward H",66.0,male,0,0,No
311,$19.4542,3,2665,0,C,"Zabour, Miss. Hileni",14.5,female,1,0,No
312,$31,2,228414,0,S,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,female,1,0,Yes
313,$19.5,3,358585,0,S,"Garfirth, Mr. John",0.0,male,0,0,No
314,$12.8792,3,330931,0,Q,"McGovern, Miss. Mary",0.0,female,0,0,Yes
316,$20.5,3,370365,0,Q,"O'Brien, Mr. Thomas",0.0,male,1,0,No
317,$29.15,3,A/4 48871,0,S,"Davies, Mr. Alfred J",24.0,male,2,0,No
318,$29.15,3,345773,0,S,"Van Impe, Mr. Jean Baptiste",36.0,male,1,1,No
319,$22.8,3,349237,0,S,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,female,1,0,No
320,$20.5,3,370371,0,Q,"Lennon, Mr. Denis",0.0,male,1,0,No
321,$12.7958,3,350052,0,S,"Johansson, Mr. Erik",22.0,male,0,0,No
322,$17.275,2,SCO/W 1585,0,S,"Hunt, Mr. George Henry",33.0,male,0,0,No
324,$13.05,3,SOTON/O.Q. 392087,0,S,"Meanwell, Miss. (Marion Ogden)",0.0,female,0,0,No
325,$12.8958,3,349249,0,S,"Rekic, Mr. Tido",38.0,male,0,0,No
326,$5,2,239853,0,S,"Campbell, Mr. William",0.0,male,0,0,No
327,$31,2,2908,0,S,"Beane, Mrs. Edward (Ethel Clarke)",19.0,female,1,0,Yes
329,$32.7208,1,PC 17601,0,C,"Uruchurtu, Don. Manuel E",40.0,male,0,0,No
331,$18,2,28425,0,S,"Berriman, Mr. William John",23.0,male,0,0,No
332,$12.2292,3,2685,0,C,"Ibrahim Shawah, Mr. Yousseff",30.0,male,0,0,No
333,$15.5,2,S.W./PP 752,0,S,"Harris, Mr. George",62.0,male,0,0,Yes
334,$19.4583,3,2689,0,C,"Caram, Mrs. Joseph (Maria Elias)",0.0,female,1,0,No
335,$12.8958,3,349233,0,S,"Mineff, Mr. Ivan",24.0,male,0,0,No
336,$18,2,250648,0,S,"Sinkkonen, Miss. Anna",30.0,female,0,0,Yes
338,$31.25,2,C.A. 31921,0,S,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31.0,female,1,1,Yes
339,$12.7333,3,35852,0,Q,"Mullens, Miss. Katherine ""Katie""",0.0,female,0,0,Yes
340,$20.7417,3,2653,0,C,"Nakid, Miss. Maria (""Mary"")",1.0,female,0,2,Yes
342,$12.8542,3,350046,0,S,"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,female,1,0,Yes
343,$5,2,239853,0,S,"Parkes, Mr. Francis ""Frank""",0.0,male,0,0,No
344,$18,2,31418,0,S,"Smith, Miss. Marion Elsie",40.0,female,0,0,Yes
346,$18,2,250647,0,S,"Greenberg, Mr. Samuel",52.0,male,0,0,No
347,$12.75,3,364848,0,Q,"Bourke, Miss. Mary",0.0,female,0,2,No
348,$11.975,3,347061,0,S,"Ekstrom, Mr. Johan",45.0,male,0,0,No
352,$18.5,2,218629,0,S,"Norman, Mr. Robert Douglas",28.0,male,0,0,No
353,$12.875,3,315082,0,S,"Zimmerman, Mr. Leo",29.0,male,0,0,No
354,$31,2,230433,0,S,"Parrish, Mrs. (Lutie Davis)",50.0,female,0,1,Yes
355,$16.1333,3,347742,0,S,"Johnson, Miss. Eleanor Ileen",1.0,female,1,1,Yes
356,$21.1,3,376564,0,S,"Thorneycroft, Mr. Percival",0.0,male,1,0,No
357,$22.4,3,345572,0,S,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36.0,female,1,0,Yes
358,$12.4958,3,349210,0,S,"Coleff, Mr. Peju",36.0,male,0,0,No
359,$12.925,3,3101277,0,S,"Gustafsson, Mr. Johan Birger",28.0,male,2,0,No
360,$18,2,243880,0,S,"Garside, Miss. Ethel",34.0,female,0,0,Yes
362,$20.5,3,364849,0,Q,"Bourke, Mr. John",40.0,male,1,1,No
363,$12.3125,3,Fa 265302,0,S,"Olsen, Mr. Ole Martin",0.0,male,0,0,No
364,$14.5,3,345783,0,S,"Vanden Steen, Mr. Leo Peter",28.0,male,0,0,No
365,$13.05,3,7598,0,S,"Dahl, Mr. Karl Edwart",45.0,male,0,0,Yes
367,$17,2,SC 1748,0,C,"Lehmann, Miss. Bertha",17.0,female,0,0,Yes
368,$12.8958,3,349217,0,S,"Laleff, Mr. Kristo",0.0,male,0,0,No
370,$13.05,3,SOTON/OQ 392082,0,S,"Simmons, Mr. John",0.0,male,0,0,No
371,$36.275,3,347082,0,S,"Andersson, Miss. Ellis Anna Maria",2.0,female,4,2,No
372,$54.5042,1,PC 17609,0,C,"Artagaveytia, Mr. Ramon",71.0,male,0,0,No
373,$11.4958,3,3101264,0,S,"Johanson, Mr. Jakob Alfred",34.0,male,0,0,No
